,0-1-value-2,0-2-value-2,0-3-value-2,0-4-value-2,0-5-value-2,0-6-value-2,0-7-value-2,0-8-value-2,0-9-value-2,0-10-value-2,1-1-value-2,1-2-value-2,1-3-value-2,1-4-value-2,1-5-value-2,1-6-value-2,1-7-value-2,1-8-value-2,1-9-value-2,1-10-value-2,2-1-value-2,2-2-value-2,2-3-value-2,2-4-value-2,2-5-value-2,2-6-value-2,2-7-value-2,2-8-value-2,2-9-value-2,2-10-value-2,3-1-value-2,3-2-value-2,3-3-value-2,3-4-value-2,3-5-value-2,3-6-value-2,3-7-value-2,3-8-value-2,3-9-value-2,3-10-value-2,4-1-value-2,4-2-value-2,4-3-value-2,4-4-value-2,4-5-value-2,4-6-value-2,4-7-value-2,4-8-value-2,4-9-value-2,4-10-value-2,5-1-value-2,5-2-value-2,5-3-value-2,5-4-value-2,5-5-value-2,5-6-value-2,5-7-value-2,5-8-value-2,5-9-value-2,5-10-value-2,6-1-value-2,6-2-value-2,6-3-value-2,6-4-value-2,6-5-value-2,6-6-value-2,6-7-value-2,6-8-value-2,6-9-value-2,6-10-value-2,7-1-value-2,7-2-value-2,7-3-value-2,7-4-value-2,7-5-value-2,7-6-value-2,7-7-value-2,7-8-value-2,7-9-value-2,7-10-value-2,8-1-value-2,8-2-value-2,8-3-value-2,8-4-value-2,8-5-value-2,8-6-value-2,8-7-value-2,8-8-value-2,8-9-value-2,8-10-value-2,9-1-value-2,9-2-value-2,9-3-value-2,9-4-value-2,9-5-value-2,9-6-value-2,9-7-value-2,9-8-value-2,9-9-value-2,9-10-value-2
10,8.08403,8.977066,8.098389,8.629898,8.031357,7.3106995,7.384918,8.392883,8.040924,6.9779053,5.57251,4.4879303,5.9244537,4.418503,5.450409,7.86615,7.356186,8.910019,7.348999,8.069656,6.4535675,5.754471,5.661087,6.652298,7.6075745,8.258804,8.227676,9.163803,8.333023,8.275558,7.241272,9.003403,8.912415,8.352173,7.600403,8.179794,7.198166,8.167816,8.086426,9.214096,8.49823,7.6458893,8.297104,8.543716,9.6642,6.7863617,7.6913757,8.230072,7.9882507,8.562866,8.718491,8.275558,8.447937,7.78714,7.2005615,7.703354,7.5118103,7.301117,8.383301,8.038528,8.560471,7.8446045,7.8805237,7.993042,8.067261,7.897278,8.000229,8.651459,6.9946594,7.653076,8.744827,7.241272,8.529343,5.819107,7.217331,5.922058,9.544495,8.093597,7.4543457,6.8007355,8.708908,7.339432,8.440765,8.507797,9.075226,9.228455,8.488647,6.6259613,6.9683228,7.9667053,9.063248,8.637085,7.4208374,7.847,7.3992767,7.250839,8.364151,7.4926605,7.712921,7.6626434
11,8.112762,8.945938,7.9308014,8.562866,7.9427643,7.167053,7.490265,8.246826,8.0816345,6.894104,5.340271,4.150345,5.948395,4.1599274,5.601242,7.8565826,7.600403,9.127899,7.3226624,8.062485,6.6810303,5.644333,5.7808075,6.965927,7.617157,8.49823,8.124725,9.360138,8.330627,8.124725,7.3657684,8.613144,8.787918,8.584412,7.5716705,8.098389,7.0018463,8.117538,8.009811,8.979462,8.426392,7.3657684,8.153458,8.459915,9.1015625,6.9228363,7.847,8.10318,8.067261,8.627502,8.699341,8.129517,9.084808,7.894882,7.2125397,7.791931,7.574066,7.210144,8.256409,8.060089,8.426392,7.7967224,7.897278,7.94516,7.854187,7.7488403,7.9236145,8.287537,6.767212,7.5884247,9.271545,7.2723846,9.024948,5.7424927,7.2388763,6.2045746,9.96347,8.627502,7.7296906,7.0545197,8.282745,7.37294,8.364151,8.61554,8.881302,8.850174,8.838196,6.5876465,6.736084,7.897278,8.376114,8.507797,7.578842,7.7775726,7.2484436,7.1359253,8.529343,7.3226624,7.5956116,7.823059
12,8.124725,8.869324,7.6937714,8.404846,7.8039093,7.052124,7.5405426,8.031357,8.143875,6.803131,5.1918335,3.9755707,6.0298004,3.810379,5.668274,7.86615,7.794327,9.29071,7.2723846,8.021774,6.9683228,5.5988464,5.914871,7.2197113,7.574066,8.857346,8.067261,9.561249,8.275558,7.9475555,7.495056,8.325836,8.567657,8.77356,7.62912,8.12233,6.9036865,8.007416,7.9954376,8.780731,8.213318,7.0377655,7.9188232,8.371323,8.689758,6.93721,7.9236145,8.12233,8.230072,8.632294,8.69455,7.8254547,9.764755,7.9427643,7.167053,7.9044647,7.672226,7.155075,8.048111,8.069656,8.251617,7.7727814,7.8852997,7.8757324,7.677017,7.5956116,7.815872,8.04332,6.573288,7.5333557,9.817429,7.3154907,9.417603,5.7616425,7.246048,6.5517426,10.384857,9.077621,8.014587,7.2436676,7.9236145,7.4088593,8.2204895,8.740036,8.716095,8.627502,9.271545,6.5708923,6.5684967,7.7847443,7.581238,8.34021,7.7177124,7.672226,7.1047974,7.052124,8.589203,7.2747803,7.4735107,7.830246
13,8.148666,8.680176,7.416046,8.218094,7.648285,6.973114,7.521393,7.7799683,8.194153,6.7528534,4.9787445,3.894165,6.1207733,3.4057617,5.6036377,7.993042,7.9236145,9.352951,7.2125397,7.952347,7.253235,5.644333,6.0776825,7.3537903,7.497452,9.199722,8.016983,9.719269,8.167816,7.763199,7.624344,8.160645,8.352173,8.926788,7.878128,8.191757,6.932419,7.86615,8.038528,8.67778,7.92601,6.736084,7.6458893,8.301895,8.079239,6.7336884,7.9188232,8.227676,8.459915,8.601166,8.7304535,7.435196,10.368088,7.9595337,7.107193,8.014587,7.7847443,7.150284,7.760803,8.100784,8.088821,7.744049,7.8637543,7.818268,7.5525055,7.4567413,7.677017,7.7464447,6.4679413,7.4998474,9.9084015,7.411255,9.594772,5.862213,7.2700043,6.913254,10.69371,9.312256,8.268372,7.368164,7.6746216,7.439987,8.0576935,8.8884735,8.562866,8.321045,9.692932,6.5565186,6.511032,7.6674347,6.8725586,8.179794,7.8086853,7.554901,6.997055,6.9994507,8.574844,7.3537903,7.3705597,7.7344666
14,8.129517,8.402451,7.2484436,8.04332,7.502228,6.9707184,7.4447784,7.538147,8.218094,6.7648163,4.8638306,3.925293,6.2835846,3.0370483,5.4456177,8.237259,8.031357,9.3194275,7.1598663,7.858963,7.497452,5.7808075,6.262039,7.356186,7.411255,9.396042,7.9786835,9.781509,8.074448,7.605179,7.7488403,8.076843,8.172607,9.010574,8.186981,8.297104,7.083252,7.68898,8.143875,8.668213,7.660248,6.487091,7.3705597,8.282745,7.1215515,6.372177,7.854187,8.397659,8.69455,8.53653,8.811859,7.0569153,10.753555,7.9188232,7.143097,8.086426,7.8996735,7.210144,7.447174,8.179794,8.016983,7.703354,7.854187,7.7823486,7.5166016,7.356186,7.5285645,7.2723846,6.4176636,7.495056,9.64505,7.545334,9.561249,5.989105,7.313095,7.258026,10.775101,9.317032,8.50061,7.3777313,7.5525055,7.459137,7.9188232,8.9674835,8.440765,7.86615,9.9084015,6.5397644,6.558914,7.5716705,6.3554077,8.129517,7.86615,7.483078,6.9108734,6.9994507,8.558075,7.4687195,7.305908,7.60997
15,8.0816345,8.067261,7.2149353,7.8996735,7.4208374,7.0233917,7.337036,7.348999,8.210922,6.822281,4.758484,4.0905,6.501465,2.6970673,5.165497,8.503006,8.131912,9.288315,7.1095886,7.7536316,7.641098,5.9986725,6.4368134,7.2676086,7.3537903,9.463089,8.0026245,9.764755,8.031357,7.483078,7.858963,8.10318,8.031357,9.029739,8.507797,8.488647,7.3035126,7.471115,8.239655,8.69455,7.4256134,6.3027344,7.1359253,8.194153,6.0058594,6.027405,7.751236,8.507797,8.862137,8.421616,8.924393,6.748062,10.897217,7.8565826,7.2484436,8.110367,7.993042,7.284363,7.234085,8.277954,8.007416,7.6746216,7.8805237,7.8015137,7.5668793,7.339432,7.4016724,6.882141,6.4128723,7.502228,9.364929,7.727295,9.307465,6.106415,7.411255,7.5668793,10.607513,9.070435,8.740036,7.281967,7.439987,7.435196,7.7703857,8.948334,8.3545685,7.222107,9.88446,6.537369,6.676239,7.5237885,6.0657196,8.16304,7.921219,7.4615326,6.8174896,7.0233917,8.505402,7.5525055,7.2747803,7.502228
16,8.031357,7.68898,7.246048,7.811081,7.435196,7.107193,7.2388763,7.2795715,8.1367035,6.9204407,4.598068,4.3825836,6.748062,2.383438,4.782425,8.699341,8.227676,9.254791,7.088043,7.6913757,7.6458893,6.264435,6.5565186,7.143097,7.3298492,9.484634,8.055298,9.834183,8.040924,7.37294,7.9236145,8.218094,7.909256,9.001007,8.792709,8.819046,7.5333557,7.2484436,8.301895,8.6706085,7.2604218,6.20697,6.93721,8.000229,4.969162,5.8047485,7.6147614,8.534134,8.945938,8.309082,9.044098,6.4918823,10.875671,7.7967224,7.37294,8.105576,8.072052,7.3537903,7.1766205,8.364151,8.019379,7.648285,7.9236145,7.858963,7.672226,7.404068,7.2987213,6.743271,6.4416046,7.554901,9.070435,7.952347,8.948334,6.2189484,7.475891,7.8374176,10.073608,8.593994,8.898056,7.0664825,7.3274536,7.411255,7.6985626,8.8046875,8.2994995,6.5996246,9.72406,6.5325775,6.8366394,7.5166016,5.912491,8.2204895,8.000229,7.459137,6.7217255,7.0617065,8.390488,7.5836334,7.258026,7.411255
17,8.062485,7.3346405,7.284363,7.763199,7.53096,7.217331,7.1454926,7.3298492,8.04332,7.0329742,4.2748566,4.7536926,6.906082,2.1440125,4.32753,8.8046875,8.270767,9.233246,7.1215515,7.684189,7.4735107,6.525406,6.6307373,7.059311,7.305908,9.484634,8.1414795,10.06163,8.052902,7.2867584,7.9547424,8.347382,7.7727814,8.941147,9.05368,9.254791,7.736862,7.0329742,8.321045,8.538925,7.179016,6.209366,6.839035,7.7464447,4.1407776,5.699402,7.507019,8.481461,8.941147,8.16304,9.142258,6.293167,10.708069,7.7703857,7.435196,8.098389,8.098389,7.447174,7.1957703,8.380905,8.048111,7.633911,7.9858704,7.9116364,7.7967224,7.538147,7.2604218,6.4368134,6.494278,7.624344,8.653839,8.167816,8.538925,6.3075256,7.4615326,8.033752,9.489426,7.8829193,9.01297,6.839035,7.2125397,7.37294,7.7536316,8.543716,8.275558,5.8526306,9.46788,6.4727325,6.941986,7.4998474,5.814316,8.258804,8.052902,7.4567413,6.6259613,7.1694336,8.175003,7.617157,7.253235,7.320282
18,8.208527,7.0545197,7.2987213,7.7225037,7.712921,7.356186,7.0569153,7.459137,7.9882507,7.1454926,3.8271332,5.1966248,6.901291,1.9835968,3.8438873,8.81665,8.234863,9.187759,7.198166,7.70813,7.171829,6.7265167,6.6355286,6.9946594,7.2795715,9.46788,8.184586,10.226837,8.055298,7.2436676,7.9595337,8.412033,7.6554565,8.81665,9.2356415,9.750397,7.897278,6.839035,8.294708,8.344986,7.1407166,6.3218994,6.870163,7.4687195,3.5613708,5.680252,7.4806824,8.366547,8.919601,8.026566,9.159027,6.1926117,10.459076,7.7536316,7.4256134,8.095993,8.055298,7.5716705,7.3825226,8.337814,8.091202,7.665039,8.048111,7.9427643,7.973892,7.68898,7.277176,5.723343,6.616379,7.6937714,8.146271,8.349777,8.158249,6.4056854,7.384918,8.158249,9.056076,7.4375916,9.075226,6.7289124,7.123947,7.3418274,7.8637543,8.218094,8.325836,5.2277374,9.120712,6.391327,6.973114,7.459137,5.7736206,8.270767,8.100784,7.4806824,6.585251,7.3154907,7.830246,7.7248993,7.2628174,7.356186
19,8.459915,6.8605957,7.2197113,7.6387024,7.9355927,7.4806824,6.973114,7.624344,7.94516,7.3226624,3.5518036,5.6586914,6.7289124,1.9500732,3.4057617,8.785522,8.119934,9.046494,7.3154907,7.7584076,6.79834,6.795944,6.604416,7.0186005,7.205353,9.367325,8.1414795,10.272324,8.060089,7.2364807,7.94516,8.371323,7.578842,8.620331,9.281128,10.214859,7.993042,6.6834106,8.198944,8.139099,7.205353,6.499069,7.052124,7.2316895,3.2309723,5.754471,7.4687195,8.203735,8.881302,7.9403687,9.056076,6.1495056,10.095154,7.720108,7.3585815,8.095993,7.969101,7.7177124,7.791931,8.321045,8.131912,7.7177124,8.100784,7.961914,8.179794,7.815872,7.325058,4.1838684,6.8055267,7.715317,7.4854736,8.486252,7.839813,6.4966736,7.258026,8.194153,8.728073,8.040924,9.034531,6.7384796,7.064102,7.3274536,7.9236145,7.8517914,8.464706,5.062546,8.641876,6.3099213,6.9587555,7.392105,5.783203,8.311478,8.110367,7.5285645,6.616379,7.435196,7.490265,7.8565826,7.3418274,7.605179
